figure,panel,record_type,module,metric,estimand,condition,cluster_id,cluster_unit,estimate,ci_low,ci_high,ci_method,unit,raw_value,raw_unit,n_observations,n_clusters,numerator,denominator,transformation,weighting,source_json_path,warning
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,F-SCI-01,task_id,-0.14583333333333337,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1.cluster_values.F-SCI-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,correct_gate,D2 minus D1,C2 all frozen artefacts,F-SCI-02,task_id,-0.0625,,,,proportion,,,1,,,,none,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.correct_gate.D2_minus_D1.cluster_values.F-SCI-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,estimate,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,,task_id,-0.14166666666666666,-0.2111111111111111,-0.07222222222222223,descriptive 95% task bootstrap,proportion,,,,6,,,sign reversed so positive means fewer false blocks,equal-weight frozen clusters,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,F-DATA-01,task_id,-0.0,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1.cluster_values.F-DATA-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,F-DATA-02,task_id,-0.16666666666666666,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1.cluster_values.F-DATA-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,F-METH-01,task_id,-0.16666666666666666,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1.cluster_values.F-METH-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,F-METH-02,task_id,-0.1,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1.cluster_values.F-METH-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,F-SCI-01,task_id,-0.2916666666666667,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1.cluster_values.F-SCI-01,descriptive feasibility interval; <=6 convenience tasks
Figure 5,c,cluster_value,DCL ablation,false_block,D1 minus D2,C2 all frozen artefacts,F-SCI-02,task_id,-0.125,,,,proportion,,,1,,,,sign reversed so positive means fewer false blocks,,.core_2x2_and_ablations.dcl_ablation.paired_contrasts.false_block.D2_minus_D1.cluster_values.F-SCI-02,descriptive feasibility interval; <=6 convenience tasks
Figure 5,d,derived_estimate,DCL ablation,correct_gate,assignment-balanced stratum rate,Natural; D0,,task_id,0.25,,,,proportion,,,72,6,,,equal mean across same/cross and listed artifact strata,equal-weight cells; all contributing cells have 36 rows,.core_2x2_and_ablations.primary_pairing.D0_OFF.rates_by_assignment_and_artifact_type,descriptive feasibility decomposition
Figure 5,d,derived_estimate,DCL ablation,correct_gate,assignment-balanced stratum rate,Natural; D2,,task_id,1.0,,,,proportion,,,72,6,,,equal mean across same/cross and listed artifact strata,equal-weight cells; all contributing cells have 36 rows,.core_2x2_and_ablations.primary_pairing.D2_COMBINED_BLIND.rates_by_assignment_and_artifact_type,descriptive feasibility decomposition
Figure 5,d,derived_estimate,DCL ablation,correct_gate,assignment-balanced stratum rate,"Controlled
(3 strata); D0",,task_id,0.898148148148148,,,,proportion,,,216,6,,,equal mean across same/cross and listed artifact strata,equal-weight cells; all contributing cells have 36 rows,.core_2x2_and_ablations.primary_pairing.D0_OFF.rates_by_assignment_and_artifact_type,descriptive feasibility decomposition
Figure 5,d,derived_estimate,DCL ablation,correct_gate,assignment-balanced stratum rate,"Controlled
(3 strata); D2",,task_id,0.898148148148148,,,,proportion,,,216,6,,,equal mean across same/cross and listed artifact strata,equal-weight cells; all contributing cells have 36 rows,.core_2x2_and_ablations.primary_pairing.D2_COMBINED_BLIND.rates_by_assignment_and_artifact_type,descriptive feasibility decomposition
Figure 5,d,reference,DCL ablation,correct_gate,D1 checker-defined ceiling,all artifact types,,,1.0,,,,proportion,,,48,6,,,none,,.core_2x2_and_ablations.dcl_ablation.D1_ONLY_accuracy_by_artifact_type,D1 shares the deterministic checker that defines feasibility gold
Figure 6,a,arm_rate,Defensive production,objective_correct,initial ITT correctness,P0,,task_id,0.25,,,,proportion,,,12,6,3,12,,session rate; six convenience-task clusters,.defensive_production.research_artefact_policy_arms.initial_anticipatory.arm_descriptives.objective_correct.P0.mean,descriptive feasibility rate
Figure 6,a,arm_rate,Defensive production,objective_correct,initial ITT correctness,P1,,task_id,0.25,,,,proportion,,,12,6,3,12,,session rate; six convenience-task clusters,.defensive_production.research_artefact_policy_arms.initial_anticipatory.arm_descriptives.objective_correct.P1.mean,descriptive feasibility rate
Figure 6,a,arm_rate,Defensive production,objective_correct,initial ITT correctness,P2,,task_id,0.25,,,,proportion,,,12,6,3,12,,session rate; six convenience-task clusters,.defensive_production.research_artefact_policy_arms.initial_anticipatory.arm_descriptives.objective_correct.P2.mean,descriptive feasibility rate
Figure 6,a,arm_rate,Defensive production,objective_correct,final ITT correctness,P0,,task_id,0.25,,,,proportion,,,12,6,3,12,,session rate; six convenience-task clusters,.defensive_production.research_artefact_policy_arms.bounded_loop_by_policy.P0.final_objective_correct_rate_ITT,descriptive feasibility rate
Figure 6,a,arm_rate,Defensive production,objective_correct,final ITT correctness,P1,,task_id,0.25,,,,proportion,,,12,6,3,12,,session rate; six convenience-task clusters,.defensive_production.research_artefact_policy_arms.bounded_loop_by_policy.P1.final_objective_correct_rate_ITT,descriptive feasibility rate
Figure 6,a,arm_rate,Defensive production,objective_correct,final ITT correctness,P2,,task_id,0.4166666666666667,,,,proportion,,,12,6,5,12,,session rate; six convenience-task clusters,.defensive_production.research_artefact_policy_arms.bounded_loop_by_policy.P2.final_objective_correct_rate_ITT,descriptive feasibility rate
Figure 6,a,conditional_rate,Defensive production,repair,P2 repair conditional rate,P2,,,0.2222222222222222,,,,proportion,,,,,2,9,,,.defensive_production.research_artefact_policy_arms.bounded_loop_by_policy.P2.repair_among_initial_wrong,conditional descriptive rate
Figure 6,a,conditional_rate,Defensive production,regression,P2 regression conditional rate,P2,,,0.0,,,,proportion,,,,,0,3,,,.defensive_production.research_artefact_policy_arms.bounded_loop_by_policy.P2.regression_among_initial_correct,conditional descriptive rate
Figure 6,b,relative_resource,Defensive production,provider_invocations,P0 relative to P0,P0,,,1.0,,,,ratio,24,calls,12,6,,,P0 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P0.provider_invocations,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,provider_invocations,P1 relative to P0,P1,,,1.0,,,,ratio,24,calls,12,6,,,P1 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P1.provider_invocations,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,provider_invocations,P2 relative to P0,P2,,,2.3333333333333335,,,,ratio,56,calls,12,6,,,P2 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P2.provider_invocations,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,known_cost_usd,P0 relative to P0,P0,,,1.0,,,,ratio,0.5313286,USD,12,6,,,P0 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P0.known_cost_usd,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,known_cost_usd,P1 relative to P0,P1,,,1.1097264480022342,,,,ratio,0.5896294,USD,12,6,,,P1 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P1.known_cost_usd,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,known_cost_usd,P2 relative to P0,P2,,,2.4618836629535847,,,,ratio,1.3080692,USD,12,6,,,P2 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P2.known_cost_usd,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,latency_seconds_sum,P0 relative to P0,P0,,,1.0,,,,ratio,347.992,seconds,12,6,,,P0 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P0.latency_seconds_sum,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,latency_seconds_sum,P1 relative to P0,P1,,,0.8442981447849376,,,,ratio,293.809,seconds,12,6,,,P1 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P1.latency_seconds_sum,cumulative cohort resource use; no uncertainty interval
Figure 6,b,relative_resource,Defensive production,latency_seconds_sum,P2 relative to P0,P2,,,2.087300857490977,,,,ratio,726.364,seconds,12,6,,,P2 value divided by P0 value,,.defensive_production.research_artefact_policy_arms.resource_use_by_policy.P2.latency_seconds_sum,cumulative cohort resource use; no uncertainty interval
Figure 6,c,assignment_rate,Whole loop,fraction_initial_resolved_ITT,assignment-specific ITT rate,same,,task_id,1.0,,,,proportion,,,12,6,12,12,,,.whole_loop_seeded_same_cross.by_assignment.same.fraction_initial_resolved_ITT.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,fraction_initial_resolved_ITT,assignment-specific ITT rate,cross,,task_id,1.0,,,,proportion,,,12,6,12,12,,,.whole_loop_seeded_same_cross.by_assignment.cross.fraction_initial_resolved_ITT.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,final_acceptable,assignment-specific ITT rate,same,,task_id,0.9166666666666666,,,,proportion,,,12,6,11,12,,,.whole_loop_seeded_same_cross.by_assignment.same.final_acceptable.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,final_acceptable,assignment-specific ITT rate,cross,,task_id,0.9166666666666666,,,,proportion,,,12,6,11,12,,,.whole_loop_seeded_same_cross.by_assignment.cross.final_acceptable.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,new_defect_any,assignment-specific ITT rate,same,,task_id,0.08333333333333333,,,,proportion,,,12,6,1,12,,,.whole_loop_seeded_same_cross.by_assignment.same.new_defect_any.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,new_defect_any,assignment-specific ITT rate,cross,,task_id,0.08333333333333333,,,,proportion,,,12,6,1,12,,,.whole_loop_seeded_same_cross.by_assignment.cross.new_defect_any.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,unnecessary_change_any,assignment-specific ITT rate,same,,task_id,0.25,,,,proportion,,,12,6,3,12,,,.whole_loop_seeded_same_cross.by_assignment.same.unnecessary_change_any.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,c,assignment_rate,Whole loop,unnecessary_change_any,assignment-specific ITT rate,cross,,task_id,0.25,,,,proportion,,,12,6,3,12,,,.whole_loop_seeded_same_cross.by_assignment.cross.unnecessary_change_any.mean,descriptive feasibility rate; endpoints are not compositional
Figure 6,d,interface_rate,Ledger proxy,accept_accuracy_ITT,interface-specific proxy accuracy,E0,,episode_id,0.21428571428571427,,,,proportion,,,14,7,3,14,,,.ledger_proxy_pilot.interfaces.E0.accept_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,accept_accuracy_ITT,interface-specific proxy accuracy,E1,,episode_id,0.7142857142857143,,,,proportion,,,14,7,10,14,,,.ledger_proxy_pilot.interfaces.E1.accept_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,accept_accuracy_ITT,interface-specific proxy accuracy,E2,,episode_id,0.7142857142857143,,,,proportion,,,14,7,10,14,,,.ledger_proxy_pilot.interfaces.E2.accept_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,tamper_accuracy_ITT,interface-specific proxy accuracy,E0,,episode_id,0.14285714285714285,,,,proportion,,,14,7,2,14,,,.ledger_proxy_pilot.interfaces.E0.tamper_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,tamper_accuracy_ITT,interface-specific proxy accuracy,E1,,episode_id,0.7142857142857143,,,,proportion,,,14,7,10,14,,,.ledger_proxy_pilot.interfaces.E1.tamper_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,tamper_accuracy_ITT,interface-specific proxy accuracy,E2,,episode_id,0.7142857142857143,,,,proportion,,,14,7,10,14,,,.ledger_proxy_pilot.interfaces.E2.tamper_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,first_defective_round_accuracy_ITT,interface-specific proxy accuracy,E0,,episode_id,0.0,,,,proportion,,,14,7,0,14,,,.ledger_proxy_pilot.interfaces.E0.first_defective_round_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,first_defective_round_accuracy_ITT,interface-specific proxy accuracy,E1,,episode_id,0.9285714285714286,,,,proportion,,,14,7,13,14,,,.ledger_proxy_pilot.interfaces.E1.first_defective_round_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,interface_rate,Ledger proxy,first_defective_round_accuracy_ITT,interface-specific proxy accuracy,E2,,episode_id,0.5714285714285714,,,,proportion,,,14,7,8,14,,,.ledger_proxy_pilot.interfaces.E2.first_defective_round_accuracy_ITT,"fresh model proxies, not human participants; clustered by seven episodes"
Figure 6,d,estimate,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,,episode_id,-0.35714285714285715,-0.6428571428571429,-0.14285714285714285,descriptive 95% task bootstrap,proportion,,,,7,,,none,equal-weight frozen clusters,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-00,episode_id,0.0,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-00,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-01,episode_id,0.0,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-01,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-02,episode_id,-1.0,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-02,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-03,episode_id,-0.5,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-03,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-04,episode_id,-0.5,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-04,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-05,episode_id,0.0,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-05,
Figure 6,d,cluster_value,Ledger proxy,first_defective_round_accuracy,E2 minus E1,structured ledger versus ordinary log,LE-06,episode_id,-0.5,,,,proportion,,,1,,,,none,,.ledger_proxy_pilot.episode_clustered_proxy_contrasts.correct_first_defective.E2_minus_E1.cluster_values.LE-06,
Figure 6,caption,diagnostic_rate,Repetition stability,valid_verdict_flip_rate,any gate flip among three valid replies,C2 artefact-auditor cells,,artifact_id x auditor_vendor,0.052083333333333336,,,,proportion,,,96,,5,96,,,.core_2x2_and_ablations.C2_three_repeat_stability.valid_verdict_flip_rate_among_all_three_valid,Each cell is one artefact-auditor pair. Verdict reliability is estimated only when all three D0 replies are valid PASS/BLOCK; repeated failures are reported as availability patterns and never counted as stable verdicts.
